epoch,acc,acc_likelihood,loss,val_acc,val_acc_likelihood,val_loss
0,0.41875,0.3305506730079651,1.8711566603183747,0.8716,0.7050579801559448,0.4939272352933884
1,0.69,0.5609890392422676,0.945999698638916,0.9137,0.8128207446098328,0.3125592408776283
2,0.78,0.6576099276542664,0.6876099359989166,0.924,0.8545879489898681,0.25466195451021195
3,0.816875,0.7174581634998322,0.5761866228282452,0.9408,0.882887532043457,0.20912200717926024
4,0.8428125,0.7455250495672225,0.5170774081349373,0.9448,0.8957679063796997,0.18293843498528004
5,0.855625,0.7722178941965103,0.45312312349677086,0.9518,0.9103893650054932,0.1619738130748272
6,0.873125,0.7944349151849747,0.41647387757897375,0.9527,0.9128849019050598,0.15553229539990426
7,0.8840625,0.8065218836069107,0.39224299907684324,0.9559,0.9218658739089965,0.14308021934479476
8,0.8859375,0.8223617190122604,0.3604678721725941,0.9587,0.9278780762672424,0.13608033661469818
9,0.9015625,0.8368736052513123,0.3309146438539028,0.9605,0.9329788772583008,0.1280418186970055
10,0.8965625,0.8403074306249618,0.3211155112087727,0.9632,0.9394299078941345,0.11659704362377524
11,0.909375,0.8529501807689667,0.2996183350682259,0.9633,0.9383599765777588,0.11722009967714549
12,0.9125,0.8546415966749191,0.2918426939100027,0.9635,0.9400224000930786,0.11734575023427606
13,0.915625,0.8636965930461884,0.2717420756816864,0.9614,0.9417202955245971,0.12245280306152999
14,0.9228125,0.874882988333702,0.2504243542999029,0.9647,0.9467670780181885,0.10743876587431878
15,0.9203125,0.8723763263225556,0.26622543193399906,0.9659,0.9495276931762695,0.10520529932212085
16,0.915625,0.8748806190490722,0.2539877516776323,0.9678,0.9516709625244141,0.09897055198065936
17,0.926875,0.8806858772039413,0.23898805130273104,0.9677,0.9510398021697998,0.10140881128832697
18,0.926875,0.8881907850503922,0.2226902600377798,0.9652,0.9492130007743835,0.1086130671305582
19,0.926875,0.8863841134309769,0.2364158070087433,0.9686,0.9519901561737061,0.0972753317238763
20,0.929375,0.8903551226854325,0.22616622224450111,0.9705,0.9572425952911376,0.09172610660232604
21,0.93375,0.8963293474912644,0.20825071580708027,0.9714,0.9594294867515564,0.08541669653635472
22,0.939375,0.8979079455137253,0.20322865452617406,0.9702,0.956568695640564,0.09103875191994011
23,0.9353125,0.8997473949193955,0.1982189540192485,0.972,0.9614816049575806,0.084161690207012
24,0.9415625,0.9076390022039413,0.1897506351582706,0.9713,0.9593631337165832,0.08973931308351457
25,0.9471875,0.9115018999576568,0.1802891922928393,0.9726,0.9603844124794007,0.08838782991385087
26,0.9415625,0.9091995632648469,0.19046366218477487,0.9712,0.9603529918670655,0.08825979114063084
27,0.9390625,0.9076266866922379,0.1968779150210321,0.9706,0.9602818448066711,0.08598179287770763
28,0.9515625,0.917310556769371,0.16190771540626883,0.9717,0.9595502494812012,0.09026920701107011
29,0.9403125,0.9122141724824906,0.18045432336628436,0.9729,0.9621669649124146,0.08454076781431213
30,0.944375,0.9149634498357773,0.1741389076039195,0.9708,0.9607493206977844,0.08977870358503423
31,0.9465625,0.9169113075733185,0.18149553587660194,0.9712,0.961375606918335,0.08816234333533794
32,0.955,0.9230405390262604,0.1580865401402116,0.9736,0.9640202592849731,0.0796563792176079
33,0.949375,0.919486203789711,0.16763406924903393,0.9737,0.9642270217895508,0.0800508707917761
34,0.9521875,0.924679446220398,0.15139257132075726,0.9753,0.9656149742126465,0.07909753448576666
35,0.95125,0.9222697526216507,0.15782572211697699,0.9748,0.9642389455795288,0.0804677077844739
36,0.9440625,0.9193214136362076,0.15391007483005523,0.9722,0.9634936929702759,0.08286914041724522
37,0.956875,0.929234790802002,0.1372019992955029,0.9732,0.9655418119430542,0.08089906640758272
38,0.9475,0.9244954395294189,0.15656562687829137,0.9742,0.9661914848327636,0.07915993465611246
39,0.9540625,0.9290483421087266,0.14300999659113586,0.974,0.9656859374046326,0.08047209217096679
40,0.9584375,0.9329133647680282,0.13435182182118297,0.9725,0.9656334120750427,0.08388982405378483
41,0.9590625,0.934545425772667,0.13274180653970688,0.9741,0.9675884485244751,0.08069916626380291
42,0.9575,0.9340888786315918,0.135966664981097,0.9752,0.9680167668342591,0.07590066135865636
43,0.958125,0.9319087278842926,0.133847988396883,0.9747,0.9677567091941833,0.07940401391424239
44,0.963125,0.9378091806173324,0.12152831496670842,0.9747,0.9677919642448425,0.0793606084913481
45,0.965,0.9391273367404938,0.12463804125785828,0.9754,0.969062605381012,0.07944456913552712
46,0.9628125,0.9422250419855118,0.11642966811545193,0.9736,0.9676116645812989,0.08188639455139637
47,0.9625,0.9395823049545288,0.11689472608268262,0.9748,0.9681047583580017,0.08168633196133887
48,0.9565625,0.9353078681230546,0.13001924883574248,0.9765,0.969691379737854,0.08119671899229289
49,0.955,0.935826622247696,0.14037590691819787,0.9732,0.9680079461097717,0.08209505419776542
