epoch,acc,acc_likelihood,loss,val_acc,val_acc_likelihood,val_loss
0,0.140625,0.13049845211207867,3.2214410305023193,0.1479,0.12045275340080261,2.3794267055511473
1,0.1953125,0.15203455835580826,2.9404240250587463,0.234,0.1558117547750473,2.100477572631836
2,0.1796875,0.1911267563700676,2.6805636286735535,0.3553,0.1962511227607727,1.873055472946167
3,0.2578125,0.1972886174917221,2.509310007095337,0.4583,0.24099903416633606,1.6814213865280152
4,0.25,0.20192022994160652,2.373843640089035,0.5161,0.2861058784008026,1.529975705909729
5,0.3828125,0.29064301028847694,1.993159919977188,0.5629,0.3254214318752289,1.407790288925171
6,0.421875,0.3131943568587303,1.8362802863121033,0.5852,0.3559073585987091,1.3246156719207764
7,0.3515625,0.3004150688648224,1.904100775718689,0.6085,0.38562232151031495,1.2530094640731813
8,0.5078125,0.39928412437438965,1.5797677636146545,0.6253,0.4140668734550476,1.1962637844085693
9,0.4609375,0.3601965829730034,1.6173318922519684,0.6387,0.44293776473999025,1.144775881576538
10,0.578125,0.4369251951575279,1.300511360168457,0.6447,0.46626107993125915,1.1101324215888977
11,0.546875,0.43864789605140686,1.23558709025383,0.6537,0.4870853741645813,1.070903036403656
12,0.59375,0.455280140042305,1.2449215054512024,0.6613,0.5005996143341065,1.0459176095962524
13,0.6484375,0.510544054210186,1.0210499167442322,0.6697,0.514263599395752,1.0178845630645752
14,0.625,0.47047579288482666,1.154521405696869,0.683,0.528586406326294,0.9883305029869079
15,0.6875,0.5297620221972466,1.0015476644039154,0.6955,0.5396877879142761,0.9604636055946351
16,0.6953125,0.5273294895887375,0.9981767237186432,0.705,0.5502080646514893,0.9358751510620117
17,0.6953125,0.5398819744586945,0.9561543464660645,0.7118,0.5598731813430786,0.9149237982749939
18,0.6640625,0.563517838716507,0.9118857085704803,0.7185,0.5685373017311096,0.8922039667129517
19,0.625,0.5287106037139893,1.090742751955986,0.7262,0.5767159549713134,0.8719849599838256
20,0.734375,0.5855716168880463,0.8341247290372849,0.7305,0.5851258864402771,0.8561705362319947
21,0.6796875,0.5720377415418625,0.9017064571380615,0.7327,0.5935747363090516,0.8445385592460632
22,0.7421875,0.5806344896554947,0.8450635522603989,0.7386,0.6037517532348633,0.8250549685001374
23,0.75,0.5934470742940903,0.8636458516120911,0.7447,0.6140001894950867,0.8026813723564148
24,0.71875,0.6018267795443535,0.7765589654445648,0.7477,0.6217464517593384,0.7852026926994323
25,0.7421875,0.5877216458320618,0.8284289240837097,0.7513,0.6302403164863586,0.7686939157485962
26,0.7734375,0.6118222326040268,0.76934914290905,0.7541,0.635757881450653,0.7579806856155396
27,0.75,0.644023984670639,0.6486069411039352,0.7561,0.6408119457244873,0.748935468530655
28,0.8203125,0.6799741685390472,0.6099913716316223,0.7612,0.6470424198150635,0.7363776678085328
29,0.796875,0.6673291623592377,0.6769985258579254,0.7669,0.6524725509643554,0.7233960275650024
30,0.7890625,0.6598436683416367,0.6888691037893295,0.7722,0.657597272491455,0.7108796391963959
31,0.8046875,0.6777675747871399,0.5697296112775803,0.7749,0.6616351209640503,0.7034536390781403
32,0.828125,0.7029259949922562,0.5676204860210419,0.7767,0.6643452928543091,0.6994221457004547
33,0.7421875,0.6315398067235947,0.7096420079469681,0.7753,0.6660921536445618,0.7038908029556274
34,0.796875,0.6879971027374268,0.5793228149414062,0.7769,0.6702877197265625,0.6970396188735962
35,0.8125,0.6723511964082718,0.6079121679067612,0.7781,0.672930294418335,0.6925928290843963
36,0.8203125,0.7034534513950348,0.5448101386427879,0.7821,0.6761949179649352,0.6868878739833831
37,0.90625,0.7599949687719345,0.37640437483787537,0.7825,0.6795948970794677,0.6836199997901916
38,0.90625,0.7658703327178955,0.3814646229147911,0.7833,0.6826084649085998,0.6813079566001892
39,0.8203125,0.707195445895195,0.568010725080967,0.7844,0.6864151581764221,0.6777971146583557
40,0.8515625,0.7099269330501556,0.5122480243444443,0.7875,0.6901892141342163,0.6729315748453141
41,0.8515625,0.7222535014152527,0.4685901775956154,0.7891,0.6958285762786866,0.6634886556625367
42,0.8203125,0.695508599281311,0.5446543097496033,0.7924,0.7014702609062194,0.6538559784412384
43,0.8671875,0.7483742386102676,0.3747628703713417,0.7938,0.7053027318954468,0.646597541475296
44,0.859375,0.7297542542219162,0.47507141530513763,0.7958,0.7086508588790894,0.6397799534082412
45,0.859375,0.7711153924465179,0.46054693683981895,0.7994,0.7128122156143188,0.6313194316744805
46,0.890625,0.750456914305687,0.4481218010187149,0.8015,0.7158650191307068,0.625137104344368
47,0.8046875,0.7136546522378922,0.5711579769849777,0.801,0.7167526406288147,0.6238605672955513
48,0.8125,0.731174498796463,0.5341135188937187,0.8018,0.7189253480911255,0.6205455316066741
49,0.8828125,0.7568859308958054,0.4129609018564224,0.8025,0.7200306118011475,0.6202633999228477
